NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1251-0389834,299.6260672,35.1651250,YM,C,-2.2,0.9,-2.2,0.9,12.295,T,11.392,T,10.820,B,10.504,10.384,10.299,
1251-0389838,299.6264056,35.1473556,YM,B,14.0,2.0,12.0,4.0,17.190,Y,17.830,Y,16.860,B,15.163,14.470,14.288,
1251-0389805,299.6211944,35.1797889,YM,B,4.0,2.0,4.0,4.0,18.750,B,17.470,Y,16.440,B,14.650,14.105,13.840,
1251-0389864,299.6338167,35.1746056,YM,B,0.0,0.0,0.0,0.0,18.300,B,17.690,Y,16.420,B,14.467,13.727,13.435,
1251-0389869,299.6345889,35.1696833,YM,B,0.0,0.0,0.0,0.0,18.350,B,17.210,Y,16.270,B,15.287,14.560,14.321,
1251-0389870,299.6353278,35.1966972,YM,B,0.0,0.0,0.0,0.0,17.530,Y,16.880,Y,16.180,B,15.035,14.528,14.412,
1251-0389890,299.6389417,35.1642750,YM,B,0.0,0.0,0.0,0.0,17.600,Y,16.860,Y,15.560,B,12.381,11.477,11.166,
1251-0389895,299.6402444,35.1836806,YM,B,0.0,0.0,0.0,0.0,18.750,B,17.080,Y,16.310,B,13.157,12.275,11.944,
1251-0389911,299.6434194,35.1815139,YM,B,0.0,0.0,0.0,0.0,17.530,Y,17.160,Y,16.060,B,14.137,13.372,13.039,
1251-0389940,299.6496250,35.1734972,YM,B,14.0,4.0,4.0,1.0,19.150,B,17.650,Y,17.600,B,15.824,15.199,14.923,
1251-0389958,299.6527778,35.1755917,YM,B,0.0,0.0,0.0,0.0,,,15.980,Y,17.770,B,16.243,15.442,15.087,
1251-0389968,299.6554194,35.1761972,YM,B,0.0,0.0,0.0,0.0,19.670,B,17.900,Y,16.940,B,14.596,13.787,13.535,
1251-0389990,299.6579417,35.1828556,YM,B,0.0,0.0,0.0,0.0,18.270,Y,17.820,Y,16.620,B,14.874,14.230,14.032,
1252-0388217,299.6440333,35.2013139,YM,B,10.0,3.0,6.0,9.0,19.250,B,17.970,Y,16.520,B,15.523,14.839,14.685,
1251-0389588,299.5802878,35.1768889,YM,C,2.3,3.7,-2.4,4.1,13.160,Y,13.260,Y,12.900,B,11.691,11.412,11.297,
1251-0389600,299.5825550,35.1801478,YM,C,-2.6,5.5,-3.7,5.4,13.890,Y,14.360,Y,14.240,B,12.863,12.488,12.381,
1251-0389602,299.5825769,35.1852303,YM,C,-1.9,5.4,-5.8,5.4,14.740,Y,14.480,Y,14.280,B,12.322,11.997,11.865,
1251-0389624,299.5878556,35.1741250,YM,B,0.0,0.0,0.0,0.0,17.290,B,16.760,Y,16.000,B,13.138,12.273,12.012,
1251-0389635,299.5895250,35.1903333,YM,Y,-109.1,9.0,-5.7,9.0,,,15.050,Y,,,15.380,14.430,14.105,
1251-0389656,299.5923861,35.1670583,YM,B,-2.0,5.0,20.0,7.0,18.000,B,17.090,Y,15.660,B,15.685,15.058,14.887,
1251-0389661,299.5939833,35.1759750,YM,B,0.0,0.0,0.0,0.0,,,15.930,Y,17.520,B,16.175,15.388,15.176,
1251-0389662,299.5940833,35.1715028,YM,B,0.0,0.0,0.0,0.0,19.240,B,17.830,Y,16.540,B,12.583,11.384,10.981,
1251-0389664,299.5941931,35.1799983,YM,C,11.7,5.4,-8.7,5.4,14.440,Y,14.360,Y,14.310,B,13.317,12.977,12.935,
1251-0389668,299.5951111,35.1735611,YM,B,0.0,0.0,0.0,0.0,17.600,Y,16.570,Y,15.940,B,15.249,14.622,14.641,
1251-0389679,299.5969944,35.1972667,YM,Y,-5.8,9.0,-7.9,9.0,,,17.780,Y,,,15.061,14.438,14.273,
1251-0389683,299.5978583,35.1808889,YM,B,0.0,0.0,0.0,0.0,18.110,Y,17.740,Y,16.650,B,15.628,14.994,14.951,
1251-0389694,299.6003028,35.1912222,YM,B,-4.0,1.0,-10.0,0.0,,,17.760,Y,17.980,B,16.045,15.105,15.124,
1251-0389700,299.6013947,35.1981117,YM,C,3.3,5.4,-1.3,5.5,13.930,Y,14.300,Y,13.660,B,12.582,12.360,12.166,
1251-0389732,299.6057639,35.1774722,YM,B,0.0,0.0,0.0,0.0,19.000,B,17.490,Y,16.840,B,15.391,14.739,14.515,
1251-0389737,299.6062222,35.1724833,YM,B,0.0,0.0,0.0,0.0,19.340,B,17.950,Y,17.330,B,15.163,14.465,14.269,
1251-0389738,299.6063472,35.1872861,YM,B,0.0,0.0,0.0,0.0,16.290,Y,15.620,Y,15.210,B,12.589,11.586,11.268,
1251-0389748,299.6085278,35.1925500,YM,B,0.0,0.0,0.0,0.0,19.100,B,17.940,Y,17.440,B,15.256,14.714,14.403,
1251-0389762,299.6112194,35.1795667,YM,B,0.0,0.0,0.0,0.0,19.450,B,17.260,Y,18.220,B,16.051,15.353,15.900,
1251-0389766,299.6121583,35.1839778,YM,B,0.0,0.0,0.0,0.0,17.660,Y,16.910,Y,15.720,B,12.794,11.961,11.682,
1251-0389746,299.6081575,35.1995011,YM,C,-1.5,5.5,-15.7,5.4,16.430,Y,15.550,Y,14.530,B,10.751,9.682,9.305,
1251-0389795,299.6176111,35.1869250,YM,B,-22.0,5.0,-34.0,5.0,14.660,Y,14.160,Y,13.780,B,12.496,11.981,11.862,
1251-0389833,299.6260583,35.1944972,YM,B,0.0,0.0,0.0,0.0,18.800,B,16.930,Y,17.020,B,15.198,14.688,14.580,
1252-0387991,299.6022833,35.2032472,YM,B,0.0,0.0,0.0,0.0,17.680,B,17.130,Y,15.970,B,14.627,14.050,13.894,
1252-0388002,299.6046944,35.2016056,YM,B,0.0,0.0,0.0,0.0,17.840,B,17.970,Y,15.520,B,15.355,14.868,14.599,
1252-0388032,299.6096139,35.2130250,YM,B,0.0,0.0,0.0,0.0,16.110,Y,17.120,Y,15.950,B,14.273,13.705,13.507,
1252-0388066,299.6157564,35.2230081,YM,C,-6.9,5.8,-20.1,5.7,17.200,Y,16.570,Y,15.670,B,13.281,12.627,12.370,
1252-0388075,299.6178167,35.2202111,YM,B,0.0,0.0,0.0,0.0,,,17.490,Y,17.810,B,16.486,14.188,13.871,
1252-0388078,299.6183361,35.2005639,YM,B,0.0,0.0,0.0,0.0,18.970,B,17.350,Y,16.700,B,14.096,13.244,13.007,
1252-0388084,299.6192722,35.2199833,YM,B,0.0,0.0,0.0,0.0,18.690,B,17.360,Y,16.000,B,13.358,12.323,11.977,
1252-0388096,299.6208333,35.2125222,YM,B,0.0,0.0,0.0,0.0,18.780,B,17.490,Y,16.060,B,12.500,11.419,11.064,
1252-0388098,299.6217722,35.2083806,YM,B,0.0,0.0,0.0,0.0,17.630,Y,16.990,Y,15.640,B,13.757,13.009,12.759,
1252-0388104,299.6236917,35.2105122,YM,C,-0.2,6.0,-6.6,5.4,16.570,Y,15.420,Y,14.850,B,11.908,11.118,10.869,
1252-0388112,299.6251750,35.2067139,YM,B,0.0,0.0,0.0,0.0,19.360,B,17.810,Y,16.560,B,15.816,15.291,15.042,
1252-0388122,299.6273528,35.2003583,YM,B,0.0,0.0,0.0,0.0,16.830,Y,16.420,Y,15.600,B,14.853,14.461,14.284,
1252-0388124,299.6279222,35.2086167,YM,B,0.0,0.0,0.0,0.0,18.560,B,17.620,Y,16.490,B,15.032,14.432,14.255,
1252-0388125,299.6280028,35.2118111,YM,B,0.0,0.0,0.0,0.0,19.020,B,17.850,Y,16.820,B,14.657,14.025,13.726,
1252-0388147,299.6328922,35.2130267,YM,C,-7.2,6.0,-2.6,5.8,17.010,Y,15.600,Y,15.010,B,11.813,10.972,10.672,
1252-0388171,299.6374917,35.2023889,YM,B,0.0,0.0,0.0,0.0,17.910,Y,17.150,Y,16.620,B,15.291,14.734,14.608,
1250-0385657,299.4399444,35.0865722,YM,B,0.0,0.0,0.0,0.0,17.570,Y,16.990,Y,16.600,B,15.336,14.672,14.439,
1250-0385658,299.4399819,35.0718750,YM,C,13.7,5.7,-3.1,5.4,15.150,Y,14.820,Y,14.720,B,13.253,12.897,12.895,
1250-0385733,299.4540444,35.0647806,YM,B,6.0,2.0,-10.0,3.0,16.070,Y,17.450,Y,16.750,B,15.567,15.015,15.099,
1250-0385706,299.4476806,35.0879944,YM,B,6.0,6.0,10.0,3.0,17.010,Y,16.250,Y,15.670,B,14.272,13.733,13.599,
1250-0385725,299.4524833,35.0975667,YM,B,0.0,7.0,14.0,4.0,17.990,Y,17.690,Y,16.930,B,15.134,14.484,14.307,
1250-0385740,299.4551894,35.0798817,YM,C,17.8,5.4,-3.9,5.6,15.550,Y,15.180,Y,14.900,B,13.857,13.452,13.360,
1250-0385743,299.4557250,35.0783222,YM,B,0.0,0.0,0.0,0.0,18.070,B,17.220,Y,16.810,B,14.510,13.967,13.743,
1250-0385762,299.4601306,35.0751000,YM,B,0.0,0.0,0.0,0.0,18.800,B,17.830,Y,16.920,B,15.205,14.647,14.423,
1250-0385765,299.4605108,35.0816986,YM,C,8.0,5.4,-8.6,5.7,15.510,Y,15.200,Y,15.430,B,13.694,13.267,13.163,
1250-0385767,299.4608639,35.0845444,YM,B,6.0,2.0,0.0,5.0,18.180,Y,17.690,Y,17.080,B,15.378,14.726,14.601,
1250-0385858,299.4779389,35.0867667,YM,B,0.0,0.0,0.0,0.0,17.640,Y,16.260,Y,16.140,B,13.323,12.516,12.180,
1250-0385860,299.4780000,35.0930333,YM,B,0.0,0.0,0.0,0.0,19.520,B,17.180,Y,17.270,B,14.535,13.861,13.573,
1250-0385874,299.4807944,35.0853917,YM,B,0.0,0.0,0.0,0.0,16.380,Y,16.260,Y,16.130,B,14.547,14.163,14.070,
1251-0388964,299.4679661,35.1052733,YM,C,-1.9,5.4,-7.3,6.2,16.150,Y,15.620,Y,16.070,C,14.232,13.694,13.700,
1250-0385584,299.4260136,35.0925089,YM,C,0.8,7.5,-9.6,7.9,16.310,Y,15.810,Y,15.810,B,13.875,13.467,13.313,
1250-0385595,299.4284194,35.0769500,YM,B,0.0,0.0,0.0,0.0,19.540,B,17.840,Y,16.970,B,13.964,13.199,12.933,
1251-0388708,299.4186083,35.1082000,YM,B,-34.0,7.0,46.0,3.0,19.220,B,17.970,Y,17.370,B,15.877,15.365,15.199,
1251-0388741,299.4249417,35.1049028,YM,B,0.0,0.0,0.0,0.0,19.660,B,17.820,Y,17.170,B,14.615,13.894,13.670,
1250-0385659,299.4401028,35.0989722,YM,B,6.0,5.0,8.0,3.0,17.930,Y,17.250,Y,16.550,B,15.163,14.435,14.212,
1251-0388765,299.4305194,35.1221528,YM,B,0.0,0.0,0.0,0.0,18.280,Y,17.590,Y,16.690,B,15.367,14.134,14.740,
1251-0388786,299.4342722,35.1066139,YM,B,0.0,0.0,0.0,0.0,16.610,Y,15.890,Y,15.710,B,14.178,13.558,13.507,
1251-0388845,299.4458722,35.1058361,YM,Y,-48.1,9.0,111.7,9.0,,,15.990,Y,,,15.954,15.689,15.146,
1251-0388884,299.4535750,35.1181722,YM,B,0.0,0.0,0.0,0.0,19.170,B,17.400,Y,16.680,B,13.694,13.077,12.791,
1251-0388886,299.4538250,35.1145139,YM,B,0.0,0.0,0.0,0.0,18.140,Y,17.620,Y,17.060,B,15.314,14.654,14.439,
1250-0385886,299.4830500,35.0970222,YM,B,0.0,0.0,0.0,0.0,13.950,o,12.930,Y,11.970,B,10.118,9.500,9.342,
1250-0385903,299.4860181,35.0994069,YM,C,-8.8,1.4,-8.0,1.6,12.814,T,12.034,T,11.530,B,10.586,10.085,10.001,
1250-0385923,299.4892694,35.0952583,YM,B,0.0,0.0,0.0,0.0,17.530,Y,17.240,Y,16.560,B,15.207,14.666,14.473,
1251-0388972,299.4697428,35.1152142,YM,C,-8.5,7.5,-3.7,6.3,18.710,B,16.920,Y,15.840,B,11.400,10.275,9.899,
1251-0389005,299.4744667,35.1062528,YM,B,0.0,0.0,0.0,0.0,19.610,B,17.740,Y,16.570,B,12.646,11.521,11.159,
1251-0389015,299.4764639,35.1218000,YM,B,0.0,0.0,0.0,0.0,19.950,B,17.830,Y,16.550,B,11.772,10.412,9.932,
1251-0389028,299.4789278,35.1068333,YM,B,4.0,7.0,2.0,0.0,19.570,B,17.840,Y,17.340,B,14.481,13.830,13.534,
1251-0389047,299.4819278,35.1041278,YM,B,0.0,0.0,0.0,0.0,,,15.790,Y,18.470,B,15.843,14.810,14.385,
1251-0389049,299.4821667,35.1098556,YM,Y,-22.6,9.0,-44.5,9.0,,,15.310,Y,,,14.196,13.663,13.571,
1251-0389052,299.4824139,35.1087417,YM,B,0.0,0.0,0.0,0.0,15.340,Y,15.500,Y,14.020,e,13.435,13.272,12.528,
1251-0389105,299.4913111,35.1002972,YM,B,0.0,0.0,0.0,0.0,19.000,B,17.370,Y,16.340,B,13.122,12.164,11.851,
1251-0389109,299.4920150,35.1129425,YM,C,7.8,5.4,16.1,8.7,16.110,Y,15.090,Y,15.080,B,11.452,10.496,10.124,
1251-0389139,299.4976864,35.1164778,YM,C,10.4,5.4,3.5,5.4,13.820,Y,13.460,Y,14.040,B,12.546,12.385,12.317,
1251-0389140,299.4977708,35.1043489,YM,C,-6.9,5.4,-13.4,5.4,14.950,Y,14.550,Y,14.280,B,12.945,12.424,12.324,
1251-0389122,299.4941028,35.1379583,YM,B,0.0,0.0,0.0,0.0,17.410,Y,16.790,Y,16.000,B,15.058,14.490,14.304,
1251-0389195,299.5070525,35.1506522,YM,C,0.0,5.4,-10.8,5.4,13.720,Y,13.550,Y,13.590,B,12.259,12.081,11.980,
1251-0389198,299.5073583,35.1269556,YM,B,-4.0,6.0,-12.0,3.0,16.820,Y,16.430,Y,16.300,B,14.712,14.269,14.153,
1251-0389210,299.5094306,35.1189000,YM,B,0.0,0.0,0.0,0.0,17.010,Y,16.490,Y,15.980,B,14.695,14.162,14.108,
1251-0389226,299.5125167,35.1522750,YM,B,0.0,0.0,0.0,0.0,18.780,B,17.290,Y,16.000,B,13.294,12.307,12.044,
1251-0389285,299.5225500,35.1362917,YM,B,0.0,0.0,0.0,0.0,17.630,Y,17.240,Y,16.720,B,15.407,14.779,14.557,
1251-0388844,299.4457783,35.1337250,YM,C,-4.3,0.7,7.0,1.3,11.713,T,11.279,T,10.990,B,10.387,10.236,10.161,
1251-0388917,299.4591778,35.1324972,YM,B,0.0,0.0,0.0,0.0,17.130,Y,16.610,Y,15.800,B,14.839,14.349,14.237,
1251-0388941,299.4634222,35.1554667,YM,B,0.0,0.0,0.0,0.0,17.930,Y,17.590,Y,16.430,B,15.298,14.753,14.558,
1251-0388959,299.4670528,35.1475222,YM,B,2.0,10.0,350.0,30.0,19.500,B,17.610,Y,,,14.210,13.237,12.958,
1251-0388961,299.4674278,35.1430333,YM,B,4.0,6.0,8.0,1.0,18.880,B,16.680,Y,16.100,B,12.304,11.214,10.836,
1251-0388962,299.4674639,35.1220000,YM,B,0.0,0.0,0.0,0.0,19.760,B,17.970,Y,17.960,B,16.239,15.538,15.420,
1251-0388963,299.4675000,35.1251861,YM,B,0.0,0.0,0.0,0.0,17.460,Y,16.780,Y,16.320,B,13.589,13.053,12.810,
1251-0388970,299.4696667,35.1341750,YM,B,0.0,0.0,0.0,0.0,19.730,B,17.830,Y,16.840,B,13.583,12.551,12.205,
1251-0389001,299.4740861,35.1305528,YM,B,0.0,0.0,0.0,0.0,17.140,Y,16.770,Y,16.480,B,15.150,14.682,14.509,
1251-0389036,299.4801097,35.1426697,YM,C,3.6,6.1,-4.5,5.4,15.640,Y,15.160,Y,15.250,B,13.922,13.581,13.453,
1251-0389083,299.4861167,35.1350667,YM,B,0.0,0.0,0.0,0.0,16.850,Y,16.060,Y,15.510,B,13.478,12.971,12.762,
1251-0388984,299.4719972,35.1539778,YM,B,12.0,6.0,4.0,1.0,19.320,B,17.800,Y,16.850,B,14.560,13.891,13.560,
1251-0388991,299.4727000,35.1624250,YM,B,0.0,0.0,0.0,0.0,19.600,B,17.680,Y,17.420,B,15.919,15.477,15.138,
1251-0389003,299.4741750,35.1657444,YM,B,0.0,0.0,0.0,0.0,17.110,Y,16.760,Y,16.420,B,14.974,14.388,14.330,
1251-0389007,299.4749278,35.1618111,YM,B,0.0,0.0,0.0,0.0,19.150,B,17.880,Y,17.190,B,15.663,15.153,14.859,
1251-0389018,299.4774219,35.1576731,YM,C,-4.5,5.6,-12.6,5.4,15.220,Y,14.960,Y,14.960,B,13.843,13.413,13.343,
1251-0389021,299.4779828,35.1657539,YM,C,-1.8,5.4,1.8,5.4,14.880,Y,14.520,Y,14.960,B,13.408,13.158,13.056,
1251-0389054,299.4828194,35.1423361,YM,B,0.0,0.0,0.0,0.0,17.930,Y,17.450,Y,16.910,B,14.676,14.265,14.044,
1251-0389074,299.4851500,35.1765611,YM,B,0.0,0.0,0.0,0.0,19.450,B,17.490,Y,16.220,B,12.157,10.894,10.476,
1251-0389081,299.4861028,35.1717722,YM,B,0.0,0.0,0.0,0.0,19.530,B,17.950,Y,17.070,B,14.746,13.967,13.740,
1251-0389088,299.4879472,35.1529944,YM,B,0.0,0.0,0.0,0.0,17.770,Y,17.400,Y,16.430,B,14.935,14.317,14.164,
1251-0389127,299.4960500,35.1549944,YM,B,0.0,6.0,-12.0,1.0,16.690,Y,16.360,Y,16.210,B,14.999,14.490,14.689,
1251-0389132,299.4967778,35.1601694,YM,B,0.0,0.0,0.0,0.0,19.450,B,17.830,Y,16.930,B,15.531,14.776,14.724,
1251-0389169,299.5021417,35.1581667,YM,B,0.0,0.0,0.0,0.0,18.910,B,17.970,Y,16.840,B,15.039,14.670,14.570,
1251-0389180,299.5037667,35.1637333,YM,B,0.0,0.0,0.0,0.0,17.850,Y,16.860,Y,15.580,B,12.346,11.426,11.143,
1251-0389205,299.5081944,35.1590278,YM,B,0.0,0.0,0.0,0.0,18.440,B,17.330,Y,16.500,B,14.387,13.710,13.566,
1251-0388623,299.4020611,35.1211250,YM,B,0.0,0.0,0.0,0.0,17.560,Y,17.390,Y,16.400,B,15.074,14.602,14.467,
1251-0388674,299.4142722,35.1190028,YM,B,0.0,0.0,0.0,0.0,19.300,B,17.770,Y,16.600,B,13.067,12.093,11.743,
1251-0388643,299.4073667,35.1404806,YM,B,26.0,7.0,14.0,4.0,16.790,Y,16.770,Y,15.660,B,14.992,14.320,13.387,
1251-0388645,299.4074167,35.1289222,YM,B,0.0,0.0,0.0,0.0,16.810,Y,16.420,Y,16.280,B,14.846,14.285,14.243,
1251-0388666,299.4123722,35.1294667,YM,B,0.0,0.0,0.0,0.0,19.550,B,17.890,Y,17.870,B,15.442,14.830,14.638,
1251-0388699,299.4166250,35.1525722,YM,B,0.0,0.0,0.0,0.0,19.010,B,17.570,Y,15.850,B,12.747,11.750,11.413,
1251-0388709,299.4187528,35.1282583,YM,B,0.0,0.0,0.0,0.0,17.840,Y,17.410,Y,16.940,B,15.468,15.015,14.622,
1251-0388714,299.4197278,35.1155194,YM,B,8.0,2.0,6.0,5.0,18.440,B,17.270,Y,16.990,B,15.330,14.932,14.935,
1251-0388722,299.4215364,35.1525767,YM,C,3.1,5.4,-10.8,5.4,13.510,Y,13.340,Y,13.540,B,12.089,11.826,11.742,
1251-0388725,299.4220222,35.1391389,YM,Y,33.2,9.0,81.4,9.0,17.600,Y,16.650,Y,,,16.908,15.756,15.898,
1251-0388732,299.4240056,35.1281500,YM,B,0.0,0.0,0.0,0.0,19.780,B,17.970,Y,16.360,B,10.539,9.125,8.579,
1251-0388745,299.4268239,35.1451261,YM,C,-3.6,5.4,-10.1,5.4,13.820,Y,13.550,Y,14.020,B,12.123,11.924,11.851,
1251-0388748,299.4271750,35.1251083,YM,Y,-48.8,9.0,-58.5,9.0,,,16.920,Y,,,16.704,15.204,15.026,
1251-0388749,299.4275039,35.1396925,YM,C,4.4,5.4,11.6,5.4,14.130,Y,13.870,Y,14.330,B,12.828,12.516,12.459,
1251-0388769,299.4317972,35.1254028,YM,B,16.0,3.0,12.0,3.0,16.720,Y,16.080,Y,16.030,B,14.038,13.435,13.221,
1251-0388779,299.4336083,35.1404361,YM,B,0.0,0.0,0.0,0.0,19.250,B,17.710,Y,16.510,B,13.048,12.105,11.727,
1251-0388790,299.4356056,35.1391694,YM,B,0.0,0.0,0.0,0.0,17.160,Y,16.770,Y,16.580,B,15.039,14.538,14.548,
1251-0388491,299.3728694,35.1529222,YM,B,8.0,2.0,4.0,11.0,19.540,B,17.970,Y,16.220,B,13.295,12.342,12.000,
1251-0388504,299.3755639,35.1421861,YM,B,0.0,0.0,0.0,0.0,18.450,B,16.850,Y,15.480,B,10.946,9.737,9.333,
1251-0388579,299.3913333,35.1331889,YM,B,8.0,6.0,8.0,2.0,17.770,Y,17.750,Y,17.170,B,15.727,15.000,14.545,
1251-0388584,299.3921222,35.1419500,YM,B,26.0,8.0,44.0,2.0,14.460,Y,13.830,Y,13.600,B,10.794,10.185,9.996,
1251-0388560,299.3865433,35.1676811,YM,C,-3.6,5.4,0.2,5.4,15.230,Y,14.610,Y,14.950,B,12.640,12.239,12.141,
1251-0388610,299.3987636,35.1387506,YM,C,8.5,5.4,-0.3,5.4,15.780,Y,15.470,Y,15.450,B,14.057,13.551,13.479,
1251-0388629,299.4034028,35.1604972,YM,B,0.0,0.0,0.0,0.0,17.840,Y,17.140,Y,16.350,B,13.425,12.749,12.423,
1251-0388633,299.4047611,35.1694944,YM,B,0.0,0.0,0.0,0.0,17.710,Y,16.740,Y,16.220,B,14.188,13.686,13.532,
1251-0388781,299.4338778,35.1583083,YM,B,-2.0,7.0,4.0,1.0,19.950,B,17.950,Y,16.880,B,12.611,11.391,10.957,
1251-0388799,299.4374314,35.1733211,YM,C,0.4,5.4,-3.8,5.4,13.930,Y,13.250,Y,12.410,B,9.928,9.212,9.016,
1251-0388816,299.4407778,35.1509528,YM,B,4.0,7.0,-6.0,2.0,18.080,Y,17.280,Y,17.030,B,15.240,14.654,14.567,
1251-0388820,299.4411861,35.1733889,YM,B,0.0,0.0,0.0,0.0,18.110,B,17.970,Y,16.180,B,14.737,14.134,13.874,
1251-0388833,299.4443244,35.1727422,YM,C,3.1,5.4,-8.0,5.4,14.040,Y,13.750,Y,13.730,B,12.180,11.918,11.801,
1251-0388842,299.4456528,35.1621472,YM,B,16.0,11.0,20.0,5.0,19.460,B,15.570,Y,17.400,B,15.553,14.532,14.099,
1251-0388848,299.4460806,35.1614750,YM,B,-20.0,5.0,16.0,13.0,19.290,B,16.860,Y,16.810,B,14.930,14.848,14.609,
1251-0388850,299.4463139,35.1557306,YM,B,0.0,0.0,0.0,0.0,19.610,B,14.310,Y,16.480,B,11.445,10.150,9.638,
1251-0388938,299.4630194,35.1597806,YM,B,0.0,0.0,0.0,0.0,17.410,Y,16.340,Y,15.460,B,12.170,11.279,10.984,
1251-0388866,299.4494139,35.1768750,YM,B,0.0,0.0,0.0,0.0,19.310,B,17.350,Y,16.550,B,13.848,12.919,12.666,
1251-0388928,299.4611356,35.1685369,YM,C,-0.4,5.4,-11.1,5.7,16.890,Y,15.540,Y,14.670,B,11.604,10.756,10.475,
1251-0388939,299.4631778,35.1912111,YM,B,0.0,0.0,0.0,0.0,18.350,Y,17.750,Y,16.270,B,14.542,13.983,13.747,
1251-0388957,299.4669472,35.1988806,YM,B,0.0,0.0,0.0,0.0,,,17.970,Y,18.170,B,15.888,15.441,15.147,
1251-0388969,299.4693261,35.1839400,YM,C,-11.5,5.5,-28.4,5.4,14.910,Y,14.380,Y,14.360,B,12.862,12.479,12.407,
1251-0388974,299.4705306,35.1799667,YM,B,0.0,2.0,-8.0,0.0,17.250,Y,17.060,Y,16.590,B,14.930,14.367,14.153,
1251-0388997,299.4735667,35.1798944,YM,B,0.0,0.0,0.0,0.0,17.400,Y,16.160,Y,15.500,B,13.916,13.470,13.305,
1251-0389014,299.4763917,35.1783000,YM,B,-8.0,1.0,444.0,51.0,18.100,Y,17.300,Y,17.380,B,15.053,14.541,14.314,
1251-0389040,299.4807139,35.1832972,YM,B,-4.0,6.0,-10.0,1.0,18.170,Y,17.400,Y,16.750,B,15.074,14.441,14.384,
1251-0388627,299.4026861,35.1817111,YM,B,26.0,9.0,22.0,1.0,19.320,B,17.970,Y,17.300,B,14.756,14.236,14.038,
1251-0388663,299.4114583,35.1866361,YM,B,0.0,0.0,0.0,0.0,18.270,Y,17.970,Y,17.150,B,15.644,15.131,15.099,
1251-0388670,299.4131375,35.1794747,YM,C,0.9,5.4,9.1,5.4,14.760,Y,14.420,Y,14.420,B,12.683,12.337,12.235,
1251-0388687,299.4156806,35.1922722,YM,B,0.0,0.0,0.0,0.0,16.960,Y,16.640,Y,15.310,B,14.195,13.757,13.539,
1251-0388717,299.4204083,35.1891639,YM,B,10.0,2.0,4.0,2.0,17.250,Y,16.520,Y,15.760,B,14.294,13.740,13.503,
1251-0388724,299.4219167,35.1854389,YM,B,0.0,0.0,0.0,0.0,17.930,Y,17.410,Y,16.470,B,15.413,14.849,14.837,
1251-0388726,299.4220944,35.1728361,YM,B,0.0,0.0,0.0,0.0,16.960,Y,16.210,Y,16.030,B,13.954,13.567,13.285,
1251-0388728,299.4224694,35.1777306,YM,B,0.0,0.0,0.0,0.0,19.370,B,17.950,Y,16.760,B,13.221,12.178,11.837,
1251-0388729,299.4232167,35.1876278,YM,B,0.0,0.0,0.0,0.0,18.350,Y,17.640,Y,16.690,B,15.324,14.776,14.569,
1251-0388734,299.4241667,35.1927639,YM,B,0.0,0.0,0.0,0.0,18.060,Y,17.700,Y,17.060,B,15.039,14.612,14.378,
1251-0388742,299.4258139,35.1698417,YM,B,0.0,0.0,0.0,0.0,19.390,B,17.970,Y,16.720,B,13.752,12.852,12.551,
1251-0388746,299.4268528,35.1875472,YM,B,0.0,0.0,0.0,0.0,18.860,B,17.590,Y,16.930,B,15.015,14.474,14.196,
1251-0388755,299.4285778,35.1947750,YM,B,0.0,0.0,0.0,0.0,19.350,B,17.620,Y,16.840,B,15.660,15.147,14.894,
1251-0388761,299.4302889,35.1917417,YM,B,10.0,7.0,4.0,0.0,,,17.970,Y,18.070,B,15.484,14.585,14.224,
1251-0388763,299.4304083,35.1883139,YM,B,0.0,0.0,0.0,0.0,19.060,B,17.530,Y,16.450,B,13.388,12.374,12.073,
1251-0388772,299.4320694,35.1741167,YM,B,0.0,0.0,0.0,0.0,15.800,Y,15.420,Y,15.180,B,13.689,13.244,13.148,
1251-0388773,299.4322694,35.1811500,YM,B,0.0,0.0,0.0,0.0,18.960,B,17.840,Y,17.210,B,15.528,15.131,14.756,
1251-0388805,299.4381417,35.1802944,YM,B,0.0,0.0,0.0,0.0,19.490,B,15.050,Y,17.380,B,15.705,15.144,14.855,
1251-0388807,299.4382972,35.1824194,YM,B,0.0,0.0,0.0,0.0,17.680,Y,17.070,Y,16.270,B,13.678,12.835,12.570,
1251-0388795,299.4368278,35.1986306,YM,B,2.0,0.0,-6.0,0.0,,,17.340,Y,16.180,B,14.608,14.073,13.920,
1251-0388821,299.4415417,35.1873528,YM,B,0.0,0.0,0.0,0.0,18.410,B,17.070,Y,16.550,B,14.160,13.528,13.297,
1251-0388826,299.4423944,35.1949750,YM,B,12.0,4.0,20.0,8.0,17.830,B,17.040,Y,15.960,B,14.567,13.865,13.650,
1251-0388827,299.4424639,35.1958583,YM,Y,26.2,9.0,16.1,9.0,,,17.970,Y,,,15.926,13.887,13.635,
1251-0388862,299.4488611,35.1980222,YM,B,0.0,0.0,0.0,0.0,18.310,B,16.980,Y,15.850,B,13.765,12.907,12.672,
1251-0388865,299.4493825,35.1914056,YM,C,1.7,5.4,-2.7,5.4,14.810,Y,14.500,Y,14.820,B,13.501,13.209,13.149,
