NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1253-0393275,299.5622250,35.3625917,YM,B,0.0,0.0,0.0,0.0,16.790,Y,16.630,Y,15.920,B,12.800,11.935,11.631,
1253-0392926,299.4965667,35.3568139,YM,B,0.0,0.0,0.0,0.0,17.740,Y,17.300,Y,16.070,B,15.132,14.526,14.374,
1253-0392953,299.5010944,35.3582833,YM,B,0.0,0.0,0.0,0.0,17.380,Y,16.640,Y,16.250,B,14.502,13.978,13.784,
1253-0392971,299.5058306,35.3470667,YM,B,0.0,0.0,0.0,0.0,18.090,Y,17.780,Y,17.310,B,15.923,15.260,15.108,
1253-0392976,299.5062164,35.3505444,YM,C,6.0,5.4,-5.3,5.4,15.120,Y,14.730,Y,15.140,B,13.363,12.984,12.890,
1253-0392982,299.5073378,35.3557922,YM,C,6.5,5.4,-14.7,5.5,17.160,Y,15.960,Y,14.780,B,11.706,10.745,10.449,
1253-0392992,299.5105194,35.3496944,YM,B,0.0,0.0,0.0,0.0,17.950,B,17.450,Y,16.170,B,14.842,14.061,13.890,
1253-0393000,299.5120686,35.3485886,YM,C,-2.4,5.5,-6.3,5.6,14.740,Y,14.570,Y,14.760,B,13.367,13.104,13.006,
1253-0393003,299.5125917,35.3547667,YM,Y,34.3,9.0,-66.2,9.0,,,17.280,Y,,,16.295,15.593,15.217,
1253-0393005,299.5127139,35.3459583,YM,B,0.0,0.0,0.0,0.0,18.180,Y,16.880,Y,16.690,B,15.118,14.490,14.400,
1253-0393008,299.5131444,35.3528750,YM,Y,-20.8,9.0,100.6,9.0,,,17.340,Y,,,16.425,15.644,15.500,
1253-0393013,299.5133500,35.3589139,YM,B,0.0,0.0,0.0,0.0,13.980,Y,13.730,Y,13.360,B,12.537,12.199,12.115,
1253-0393026,299.5153528,35.3551333,YM,Y,-23.8,9.0,-0.1,9.0,,,14.820,Y,,,11.452,10.621,10.351,
1253-0393041,299.5174222,35.3540861,YM,Y,19.8,9.0,-29.1,9.0,13.890,Y,13.860,Y,,,12.874,12.611,12.535,
1253-0393096,299.5276778,35.3641861,YM,B,0.0,0.0,0.0,0.0,17.690,B,16.610,Y,16.390,B,15.106,14.721,14.532,
